Team,Diff,Opposition,Ground,Match Date,year,opponnents,home_standing,away_standing,temp,pressure,wind
Wales,8,v Italy,Millennium Stadium,2014-02-01,2014,Italy,80.19,73.13,3,1019,14
France,2,v England,Stade de France,2014-02-01,2014,England,80.87,85.7,0,1017,5
France,-5,v Wales,Stade de France,2019-02-01,2019,Wales,77.34,87.26,0,1017,5
Ireland,7,v Scotland,Lansdowne Road,2020-02-01,2020,Scotland,84.24,81.21,0,1020,29
Wales,42,v Italy,Millennium Stadium,2020-02-01,2020,Italy,79.77,70.88,3,1019,14
Ireland,10,v England,Lansdowne Road,2015-03-01,2015,England,82.13,85.68,0,1020,29
Scotland,12,v Wales,Murrayfield,2007-02-10,2007,Wales,76.73,76.87,4,1017,7
England,13,v Italy,Twickenham,2007-02-10,2007,Italy,78.61,72.79,2,1017,11
Italy,-4,v England,Rome,2008-02-10,2008,England,73.29,85.57,8,1004,17
Ireland,-6,v England,Lansdowne Road,2013-02-10,2013,England,80.22,83.9,0,1020,29
Ireland,37,v Italy,Lansdowne Road,2018-02-10,2018,Italy,86.4,71.27,0,1020,29
England,6,v Wales,Twickenham,2018-02-10,2018,Wales,90.88,82.09,2,1017,11
England,36,v France,Twickenham,2019-02-10,2019,France,86.23,77.34,2,1017,11
Scotland,-1,v Ireland,Murrayfield,2007-03-10,2007,Ireland,76.73,84.67,4,1017,7
Italy,3,v Wales,Rome,2007-03-10,2007,Wales,72.79,76.87,8,1004,17
Ireland,18,v Scotland,Lansdowne Road,2012-03-10,2012,Scotland,80.65,76.2,0,1020,29
Wales,21,v Italy,Millennium Stadium,2012-03-10,2012,Italy,79.61,73.99,3,1019,14
England,7,v Italy,Twickenham,2013-03-10,2013,Italy,83.9,76.24,2,1017,11
Wales,13,v Ireland,Millennium Stadium,2017-03-10,2017,Ireland,82.56,84.63,3,1019,14
Ireland,20,v Scotland,Lansdowne Road,2018-03-10,2018,Scotland,86.4,84.13,0,1020,29
France,6,v England,Stade de France,2018-03-10,2018,England,78.11,90.88,0,1017,5
Ireland,12,v France,Lansdowne Road,2019-03-10,2019,France,91.18,77.34,0,1020,29
Italy,-15,v England,Rome,2006-02-11,2006,England,72.18,83.27,8,1004,17
France,12,v Ireland,Stade de France,2006-02-11,2006,Ireland,86.1,80.03,0,1017,5
Ireland,-3,v France,Croke Park,2007-02-11,2007,France,84.67,85.87,0,1020,29
Italy,-4,v England,Rome,2012-02-11,2012,England,73.99,81.58,8,1004,17
Wales,-5,v England,Millennium Stadium,2017-02-11,2017,England,82.56,90.47,3,1019,14
Italy,-53,v Ireland,Rome,2017-02-11,2017,Ireland,72.5,84.63,8,1004,17
Scotland,6,v France,Murrayfield,2018-02-11,2018,France,84.13,78.11,4,1017,7
Ireland,6,v Scotland,Lansdowne Road,2006-03-11,2006,Scotland,80.03,73.52,0,1020,29
Wales,0,v Italy,Millennium Stadium,2006-03-11,2006,Italy,82.54,72.18,3,1019,14
England,8,v France,Twickenham,2007-03-11,2007,France,78.61,85.87,2,1017,11
France,-2,v England,Stade de France,2012-03-11,2012,England,84.7,81.58,0,1017,5
Italy,-22,v France,Rome,2017-03-11,2017,France,72.5,80.14,8,1004,17
England,40,v Scotland,Twickenham,2017-03-11,2017,Scotland,90.47,80.71,2,1017,11
Wales,24,v Italy,Millennium Stadium,2018-03-11,2018,Italy,82.09,71.27,3,1019,14
