Team,"opponnents
","home_standing
","away_standing
","home_prev
","away_prev
"
Italy,France,70.88,85.30,free,free
England,Scotland,89.49,80.82,free,free
Wales,Ireland,79.36,84.65,free,free
England,Italy,89.49,70.88,Scotland,France
Scotland,Wales,80.82,79.36,England,Ireland
Ireland,France,84.65,85.30,Wales,Italy
Italy,Ireland,70.88,84.65,free,free
Wales,England,79.36,89.49,free,free
France,Scotland,85.30,80.82,free,free
Italy,Wales,70.88,79.36,free,free
England,France,89.49,85.30,free,free
Scotland,Ireland,80.82,84.65,free,free
Scotland,Italy,80.82,70.88,Ireland,Wales
Ireland,England,84.65,89.49,Scotland,France
France,Wales,85.30,79.36,England,Italy
